Ingles,Español,relacion1,relacion2
us,"nos, nosotros",al senado de los de atrás,así nos nosotros
most,"la mayoría, el mayor número, el máximo,",no es la de lluvia en un enigma veo ama zona,no están allá brilla en hallar número en activo
day,día,de hecho ella,da le di la
give,dar,quién estaba,mierda
these,"estos, estas",diez mezclados estaba,este listos estas
any,"alguno/a, cualquier/a",mediante un helado hey no tienes nada,el día el turno a cualquiera
because,porque,el caso contra él,mi transporte
want,querer,mande quién era,walt er
new,nuevo,niño helado,en el suelo
even,"incluso, aún, parejo",y teniente shaw an al la vida,he tenido que los dos algún parezco
way,"camino, manera, método",white en idaho vend ra la cara,vuelta niño manera métodos
well,bien,una odian,cualquier
first,primero/a,sabes que vine raro ella,quieres primero a
work,"trabajo, trabajar",una chatarra ok chatarra,walt er andar con elegancia
our,nuestro/a,antiguas que lo era,han esperado a
how,"cómo, como",la número clonado,tal como podamos
two,dos,si el caos,los dos
use,"usar, uso",diez isaac ni avanzado,usen usar emos los
after,después de,hacer que se fue esta,hasta después de
back,"de vuelta, atrás, espalda,",da que fue otra ha hecho él es ahora,la de vuelta al apenas está alta
also,también,avanzar chan te,avanzó tan bien
think,pensar,te interesa,en qué pensar
over,"encima de, por encima de, más de",todos en el final para fumar el final del más la,ahora encima te por encima de marte
its,su,el océano,y acción
come,"venir, llegar",han tenido una entrada,tome venir llegar
only,"solo, solamente, únicamente",a mi sábado estaban ante el viene para entrar,analizando solamente únicamente
look,"mirar, buscar, parecer",la misma has echado en estas,la mirar buscar parecer
now,ahora,lado encubre,me hago una hora
then,entonces,daniel chan ce is,de an entonces
than,que,de entrar,dante
other,otra/o,ha tenido hecha a mano,ah pero otra todo
see,ver,infierno,y ver
them,"ellos, los (posesivo)",dañadas más necesita,de medios las obsesivo
could,"podría, podríamos, podrían",de maría dos aviones marcha bien,podría podríamos podrían
some,"algo, alguno, algunas",han ahorcado tanque helado antes,camarero algunos halcones
good,bueno,que es buena no,do es bueno
your,tu/tus (posesivo),irak sí él si él se ha sus citado,y a todos los obsesivo
year,año,iliana al día,y daño
into,"dentro de, en, contra",pensé que han hecho atrae han mancha,entra dentro de él contra
people,"gente, personas",y porque entra el personal,mi paciente personas
take,tomar,de hecho ahora,hey tomar
know,"saber, conocer",lo hacía para conocer,me gusta de conocer
him,él,quién era,en el
just,"solo, justo, acabar de",que estaba ud ha estado acá para allá,días do los costos a la tarde
no,no,diana,me han dado
time,tiempo,anti han parado,tan en tiempo
like,"gustar, como (adv.)",mark estaba pagaba el civil,la pos tal como a derek
can,puede/o,que el para el mago,tanto puede todo
make,hacer,me hace horas,me en placer
when,"cuando, cuándo",cuento andado manta,we ir cuando cuando
me,"yo, me, mi",villano billy ana,me llamo me mis
go,ir,de ahora en la,doy le
which,"cuál, el/la cual",un hecho que ahora nada me quema,muy cuál es la cual
get,obtener,diana a cenar,de hecho temer
who,quién,de acción,como que él
about,"sobre, acerca de",a da opción para esta carta,la dama logre acercarse
if,si,el c si,mikhail
out,"afuera, fuera, lejos",adónde fue en el funeral medidas,la otra fuera fuera lejos
up,arriba,a alguien para,adoptar ira
so,"así, tan",estaban si eran,no vas y pan
what,qué,marca fue él,mark qué
their,ellos/as,bien en el área,dave ellos las
there,"allá, allí",de ahora en abril,de andar aquí
would,"condicional, terminación -ría",walt er decían a sam en edición había,más condicional terminación regular
all,"todo/a, todos/as",ahora se han dado en el sitio de hadas,hoy todo a todos antes
one,uno,marie vendado,humano uno
my,mi,mariana,un año
will,"(futuro), voluntad",uno y echar la van a echar,hoy la foto ahora mortal
an,"un, una/o, unas/os",anda anda anda todo les ahora es,para un una todo unas todos
or,o,en enero,he creado
she,ella,sí ahora,sí era el plan
her,ella,de verdad,si a ella
say,decir,hey precio sa,la y decir
we,nosotros/as,vino hacia atrás na es,muy nosotras hans
they,ellos/as,de llamadas raras,de ellos hans
from,"de, desde",plantear la hacia él,tra té de este
by,por,ay tu olor,dalton
his,el,entra,israel
but,pero,la que corra do,mata de ellos
this,esto/a,decía estaba ella,dije esto a
at,"a, en",para el ron,a casa en
do,hacer,quién rachel hola,la base
you,"tú, usted, ustedes",y acción mezcla de instalar,la to mo este oeste liz
as,como (adv.),a la mamá he chi chi,haz como a derek
he,él,mira,a él
with,con,de qué te han,muy tarde
on,"en, sobre",amanda en la otra,ahora él se abre
not,no,la ha creado,me a me ado
for,para,de quién era,fueron para el sr
it,"él, lo, la (cosa, animal), eso, esto",era algo nuevo va en francia en año y anciano pescado,y él no la cosa animal esto esto
I,yo,han guiado,y ella no
have,"tener, haber",marchan en la vida,a tener a ver
that,"que, eso/e/a, aquello/a, cual",dado que el día entero y se van para el uno,la que es lo que a aquellos a cuál
in,"en, dentro de",era en la entrada,en el centro de
a,"un, una",me han nena,au en una
and,y,en una,andy
of,de,a qué te han,todos te
to,"a, hacia, hasta, por, para,",si va él hacía hasta ahora en la,de una parcial hasta por tara
be,ser o estar,días en el agua está hola,dijeron estás
the,"el, la, los, las",diana un abre una nueva,de él la ellos las
