Ingles;Español;relacion1;relacion2;relacion3;relacion4
us;nos, nosotros;al senado de los de atrás;así nos nosotros;hans;paz
most;la mayoría, el mayor número, el máximo,;no es la de lluvia en un enigma veo ama zona;no están allá brilla en hallar número en activo;una vez;dos
day;día;de hecho ella;da le di la;danny;de él
give;dar;quién estaba;mierda;diez;de
these;estos, estas;diez mezclados estaba;este listos estas;de eso;pero este
any;alguno/a, cualquier/a;mediante un helado hey no tienes nada;el día el turno a cualquiera;en el;para mí
because;porque;el caso contra él;mi transporte;de que hans;mick avanza
want;querer;mande quién era;walt er;madre;walt
new;nuevo;niño helado;en el suelo;el miedo;no
even;incluso, aún, parejo;y teniente shaw an al la vida;he tenido que los dos algún parezco;y tal;en el
way;camino, manera, método;white en idaho vend ra la cara;vuelta niño manera métodos;cuál;ma el
well;bien;una odian;cualquier;mamá;como él
first;primero/a;sabes que vine raro ella;quieres primero a;torres;mira esto
work;trabajo, trabajar;una chatarra ok chatarra;walt er andar con elegancia;una;lo haré
our;nuestro/a;antiguas que lo era;han esperado a;ahorrar;qué
how;cómo, como;la número clonado;tal como podamos;claro;shawn
two;dos;si el caos;los dos;si leo;todo
use;usar, uso;diez isaac ni avanzado;usen usar emos los;niños;moción
after;después de;hacer que se fue esta;hasta después de;las otras;carter
back;de vuelta, atrás, espalda,;da que fue otra ha hecho él es ahora;la de vuelta al apenas está alta;dado que;la
also;también;avanzar chan te;avanzó tan bien;avanzado;lois lo
think;pensar;te interesa;en qué pensar;perdón;perdón
over;encima de, por encima de, más de;todos en el final para fumar el final del más la;ahora encima te por encima de marte;ahora;cooper
its;su;el océano;y acción;eh;en
come;venir, llegar;han tenido una entrada;tome venir llegar;que han;tony
only;solo, solamente, únicamente;a mi sábado estaban ante el viene para entrar;analizando solamente únicamente;en abril;ahora sí
look;mirar, buscar, parecer;la misma has echado en estas;la mirar buscar parecer;ahora qué;el lago
now;ahora;lado encubre;me hago una hora;de an;me hago
then;entonces;daniel chan ce is;de an entonces;de an;de él
than;que;de entrar;dante;de an;dan
other;otra/o;ha tenido hecha a mano;ah pero otra todo;atrás;poder
see;ver;infierno;y ver;que él;qué
them;ellos, los (posesivo);dañadas más necesita;de medios las obsesivo;de an;de an
could;podría, podríamos, podrían;de maría dos aviones marcha bien;podría podríamos podrían;nada qué;todo
some;algo, alguno, algunas;han ahorcado tanque helado antes;camarero algunos halcones;sr han;dónde
good;bueno;que es buena no;do es bueno;claro;dos
your;tu/tus (posesivo);irak sí él si él se ha sus citado;y a todos los obsesivo;y ahora;la la
year;año;iliana al día;y daño;ni na;señor
into;dentro de, en, contra;pensé que han hecho atrae han mancha;entra dentro de él contra;entra;entró
people;gente, personas;y porque entra el personal;mi paciente personas;c hilton;victor
take;tomar;de hecho ahora;hey tomar;sabe qué;real
know;saber, conocer;lo hacía para conocer;me gusta de conocer;helado;me hago
him;él;quién era;en el;que han na;señor
just;solo, justo, acabar de;que estaba ud ha estado acá para allá;días do los costos a la tarde;qué harás;dios
